What is the correct chronological order of the four most important poetry collections by Eugenio Montale?;"A) Ossi di seppia; Satura; La bufera e altro; Le occasioni";"B) Ossi di seppia; La bufera e altro; Le occasioni; Satura";"C) Ossi di seppia; Le occasioni; La bufera e altro; Satura";"D) Satura; Ossi di seppia; Le occasioni; La bufera e altro";"E) La bufera e altro; Le occasioni; Ossi di seppia; Satura";в
Which of the following energy sources is NOT considered renewable?;A) Geothermal;B) Solar;C) Wind;D) Produced by hydropower;E) Produced from oil and its derivatives;д
The head of the Anglican Church is:;A) The oldest cardinal of the synod;B) The Patriarch of Edinburgh;C) The King of England;D) The Archbishop of Canterbury;;в
"Establish the correspondence between the titles of poetry collections and their authors.
Alcyone a. Eugenio Montale
Zibaldone b. Gabriele d'Annunzio
Cuttlefish Bones c. Salvatore Quasimodo
Myricae by Giacomo Leopardi
The false and the true green and. Giovanni Pascoli";"A)1-b: 2-d; 3-a; 4-e; 5-c";"B)1-b2-a; 3-e; 4-d; 5-c";"C)1-a; 2-e; 3-c; 4-b; 5-d";"D)1-c; 2-b; 3-d; 4-e; 5-a";"E)1-e; 2-b; 3-d; 4-a; 5-c";а
The term sponsor is a word of which origin?;A) Latin;B) English;C) Greek;D) German;E) French;а
In the sentence “Non capisco di che cosa parlino” (I don’t understand what they are talking about), the subordinate clause is:;A) Limiting;B) Declarative;C) Subjective;D) Objective;E) Indirect interrogative;д
"Looking at the table, correctly associate the works with the architects who designed them.
Bukwi Robie House – Chicago
Art School - Glasgow
Secession Building - Vienna
AEG Turbine Factory - Berlin
Ville Savoye - Poissy
Cifri Charles Rennie Mackintosh
Frank Lloyd Wright
Peter Behrens
Joseph Maria Olbrich
Le Corbusier";"A)a-2; b-1; c- 4; d -3; e-5";"B)a-5; b-4; c-2; d- 1; e-3";"C)a-3; b-4; c-1; d- 2; e-5";"D)a-5; b-1; c-4; d-3; e-2";"E)a-2; b-3; c-5; d- 1; e-4";а
Who is the author of the work in the image?  Ecstasy of Saint Teresa;A) Antonio Canova;B) Gian Lorenzo Bernini;C) Michelangelo Buonarroti;D) Donatello;E) Alessandro Algardi;б
Which of the following historical events does NOT belong to the period of the Risorgimento?;A) First War of Independence;B) Signing of the Treaty of Campoformio;C) The Expedition of the Thousand;D) Second War of Independence;E) The Plombières Agreements;б
42: Which of the following elements is not included in the series formed by the others?;A) Aleutine;B) Andes;C) Andamane;D) Caroline;E) Maldives;б
In what year was the Berlin Wall built to divide East and West Berlin?;A) 1946;B) 1948;C) 1955;D) 1958;E) 1961;д
The UN General Assembly:;A) Is elected democratically;B) Is a body representing all member states;C) Is a meeting of the first ministers of the member states;D) Replaced the UN Security Council in 1996;E) Meets monthly in ordinary session;б
Which of the following lists contains only works written by Carlo Emilio Gadda?;"A) The Pain of Cognition; The Madonna of the Philosophers; That Awful Mess on Via Merulana";"B) That Awful Mess on Via Merulana; The Liar; Materassi Sisters";"C) Heroes and Priests; The Novel of the Burnt City; The Conversation in Sicily";"D) The Madonna of the Philosophers; Dialogues with Leucò; The Dream and the Lightning";"E) The Pain of Cognition; Dialogues with Leucò";а
"“What is real is rational; and what is rational is real.” This statement is from a philosopher who is also the author of Phenomenology of Spirit. Who is it?";A) Schopenhauer;B) Fichte;C) Aristotle;D) Vico;E) Hegel;д
What is the correct chronological order?;"A) Marx; Kant; Rousseau";"B) Rousseau; Kant; Marx";"C) Marx; Rousseau; Kant";"D) Kant; Marx; Rousseau";"E) Rousseau; Marx; Kant";б
The adjective Magyar refers to the inhabitants of which country?;A) India;B) Hungary;C) China;D) Korea;E) Russia;б
“What particular privilege does this small agitation of the brain that we call thought have, that it should be taken as a model of the entire universe?” This passage, which calls into question the objectivity of our reasoning, comes from Dialogues on Natural Religion by which empiricist philosopher?;A) Pierre Bayle;B) David Hume;C) René Descartes;D) John Stuart Mill;E) Karl Marx;б
What is meant by the expression majority bonus?;A) The coalition that wins the elections obtains a number of parliamentary seats greater than it would under purely proportional criteria;B) The elected officials of the winning coalition receive a monetary prize;C) The coalition that wins the elections receives a monetary bonus;D) The coalition that wins the elections governs;E) The coalition that includes parties holding at least 51% of the available parliamentary seats;а
The painting in the image is the work of: Senecio;A) Vasilij Kandinsky;B) Pablo Picasso;C) Georges Braque;D) Fernand Léger;E) Paul Klee;д
In what century was this depiction of an Ideal City painted?;A) 15th century;B) 16th century;C) 18th century;D) 19th century;E) 20th century;а
This painting is by: Andrea Gritti;A) Titian;B) Raphael;C) Michelangelo;D) Velázquez;E) El Greco;а
On what date did Hitler become Chancellor of the Reich?;A) May 1928;B) October 1929;C) July 1932;D) January 1933;E) August 1934;г
To which artistic movement does the painting below belong? Pierre Renoir’s Luncheon of the Boating Party;A) Pointillism;B) Symbolism;C) Romanticism;D) Realism;E) Impressionism;д
The “Battle for Grain” was:;A) A revolt of German peasants led by Thomas Müntzer;B) A popular uprising in Paris culminating in the storming of the Bastille;C) The height of the Cossack revolt against the Russian army;D) A war between Venice and the Ottoman Empire over Mediterranean control;E) A fascist campaign aimed at making Italy less dependent on imports;д
Which of the following terms does NOT refer to a type of vault?;A) Rib vault;B) Pavilion vault;C) Truss vault;D) Barrel vault;E) Schifo vault;в
Which are the four great Italians buried in Santa Croce Church in Florence, mentioned by Foscolo in his poem Dei Sepolcri to celebrate the greatness of Italy?;A) Machiavelli, Michelangelo, Dante, and Petrarch;B) Machiavelli, Michelangelo, Galileo, and Alfieri;C) Dante, Petrarch, Alfieri, and Galileo;D) Michelangelo, Galileo, Petrarch, and Alfieri;E) Michelangelo, Alfieri, Petrarch, and Dante;б
Who was the writer and revolutionary who founded Young Italy (La Giovine Italia) and inspired the Risorgimento?;A) Manzoni;B) Mazzini;C) Garibaldi;D) Cavour;E) Gioberti;б
Who was the victim of the Capaci Massacre?;A) Borsellino;B) Falcone;C) Dalla Chiesa;D) Fava;E) Mattarella;б
What is meant by protectionism?;A) A tightening of controls on people traveling between Schengen countries;B) A policy for the development of police and military forces;C) An economic policy opposing free trade;D) An increase in military presence at borders;E) The prohibition of production, sale, and transport of alcohol;в
What does the term palimpsest refer to?;A) A simultaneous mix of multiple musical or vocal sounds;B) A block of squared paper used for notes;C) A large arch typical of late antique architecture;D) An old manuscript whose text was erased and overwritten;E) A stage performance or advertising musical;г
What does the term syncretism identify?;A) The creation of situations aimed at social tension;B) The tendency to reconcile cultural, philosophical, or religious elements from different traditions;C) The enhancement of the effect of a chemical compound;D) The need to overcome randomness in scientific research;E) The belief that all individual knowledge is derived from prior knowledge;б
The painting in the image is by: Venice;A) Giambattista Tiepolo;B) Tintoretto;C) Titian;D) Canaletto;E) Bernardo Bellotto;г
Where is the painting Liberty Leading the People by Delacroix located?;A) Rome;B) Lyon;C) Stockholm;D) Paris;E) London;г
Which architectural order was created by the Romans?;A) Tuscan order;B) Corinthian order;C) Doric order;D) Ionic order;E) Composite order;д
The Crystal Palace, designed by Joseph Paxton for the Great Exhibition of London, was inaugurated in:;A) 1821;B) 1851;C) 1875;D) 1889;E) 1900;б
The vault shown in the figure is a:;A) Barrel vault (volta a botte);B) Dome vault;C) Pavilion vault;D) Groin vault (volta a crociera);E) Sail vault;б
On March 31, 2016, a world-famous figure in architecture and design passed away. In Italy, she designed works such as the MAXXI – National Museum of 21st Century Arts in Rome and the skyscraper known as “Lo Storto” in Milan. Who is she?;A) Frank O. Gehry;B) Kazuyo Sejima;C) Zaha Hadid;D) Denise Scott Brown;E) Massimiliano Fuksas;в
What is the name of the sculpture in the image and who is the author?;A) Pietà Rondanini by Michelangelo Buonarroti;B) Vatican Pietà by Michelangelo Buonarroti;C) Pietà by Donatello;D) Pietà of Palestrina by Michelangelo Buonarroti;E) Pietà by Antonello Gagini;а
Who is the architect of the Guggenheim Museum in Bilbao?;A) Zaha Hadid;B) Renzo Piano;C) Frank O. Gehry;D) Massimiliano Fuksas;E) Frank Lloyd Wright;в
Name the artist and the title of the artwork shown in the image:;"A) The Card Players; Caravaggio";"B) The Interrupted Concert; Jan Vermeer";"C) The Triumph of Bacchus; Diego Velázquez";"D) Supper at Emmaus; Caravaggio";"E) The Calling of Saint Matthew; Caravaggio";д
When was the Futurist Manifesto by Filippo Tommaso Marinetti published in Le Figaro?;A) 1907;B) 1909;C) 1913;D) 1925;E) 1930;б
What is the style of Victor Horta’s Maison Tassel (Casa Tassel)?;A) Art Nouveau;B) International Style;C) Baroque;D) Rococo;E) Rationalism;а
The building shown in the figure was designed by: Chapel of Ronchamp;A) Pier Luigi Nervi;B) Giovanni Michelucci;C) Frank O. Gehry;D) Charles Garnier;E) Le Corbusier;д
Identify the artwork shown in the image:;A) Oskar Kokoschka, The Bride of the Wind, 1914;B) John William Waterhouse, Siren, 1900;C) Jackson Pollock, Autumn Rhythm, 1950;D) Marc Chagall, The Lovers, 1954–55;E) Egon Schiele, The Lovers, 1917;а
What happened on January 27, 1945?;A) The Allies entered Rome;B) The Allies landed in Salerno;C) The Russians liberated the Auschwitz concentration camp;D) Dresden was destroyed by bombings;E) The Red Cross denounced the genocide of the Jews;в
To which country can the origins of the Industrial Revolution be attributed?;A) United States;B) Netherlands;C) France;D) England;E) Russia;г
Which of the following products was NOT designed by Philippe Starck?;A) ring;B) A chair;C) bottle opener;D) idk;E) lamp;в
Which of these is one of the peace treaties that officially ended World War I (signed June 28, 1919)?;A) Peace of Augsburg;B) Treaty of Versailles;C) Peace of Westphalia;D) Treaty of Vienna;E) Peace of Cateau-Cambrésis;б
Indicate which of the following is the author of the depicted work: abstract work, composition…;A) Kazimir Malevich;B) Wassily Kandinsky;C) Joan Miró;D) Piet Mondrian;E) Paul Klee;б
The music of the piece used as the European Union’s anthem was composed by:;A) Ludwig van Beethoven;B) Giuseppe Verdi;C) Frédéric Chopin;D) Wolfgang Amadeus Mozart;E) Richard Strauss;а
Which of the following options lists the authors in correct chronological order?;"A) Virgil; Pirandello; Leopardi; Boccaccio; Goldoni";"B) Boccaccio; Leopardi; Pirandello; Goldoni; Virgil";"C) Virgil; Boccaccio; Goldoni; Leopardi; Pirandello";"D) Virgil; Goldoni; Boccaccio; Pirandello; Leopardi";"E) Boccaccio; Virgil; Pirandello; Leopardi; Goldoni";в
The Cape of Good Hope marks the meeting point of:;A) Atlantic Ocean and Arctic Ocean;B) Pacific Ocean and Atlantic Ocean;C) Indian Ocean and Pacific Ocean;D) Indian Ocean and Atlantic Ocean;E) Pacific Ocean and Arctic Ocean;г
Eliminate the intruder (odd one out):;A) Danube;B) Rhine;C) Euphrates;D) Seine;E) Volga;в
To which philosopher can the saying “Know thyself” be attributed?;A) Freud;B) Kant;"C) No specific philosopher; it is an inscription on the temple of Delphi";D) Socrates;E) Epicurus;г
Which film, in a famous sequence, uses Richard Wagner’s Ride of the Valkyries?;A) The Deer Hunter;B) Good Morning, Vietnam;C) Platoon;D) Apocalypse Now;E) Full Metal Jacket;г
"Which contemporary architects are responsible for the redevelopment, restoration or renovation project of the following works?
Cifri Port of Genoa (1992)
Berlin Reichstag (1992-99)
Musée d'Orsay, Paris (1980-86)
La Scala Theatre, Milan (2002-04)
Triennale Palace, Milan (2002)
Bukwi Mario Botta
Renzo Piano
Norman Foster
Gae Aulenti
Michele De Lucchi";"A)1-c; 2-b; 3;e; 4 – a; 5 - d";"B)1-b;2-c; 3- d; 4 - a; 5 – e";"C)1-b; 2-a; 3-c; 4-d; 5-e";"D)1-a; 2-c; 3 - b; 4 - e; 5 - d";"E)1-c; 2-a; 3 - d; 4 - b; 5 - e";б
Which event gave Hitler’s government in 1933 the pretext to launch a repressive campaign against the communists?;A) The Reichstag fire;B) The Night of the Long Knives;C) The book burnings in Berlin;D) The failed annexation of Austria to Nazi Germany;E) Stalin’s rise to power in Russia;а
The sculpture in the photo, which depicts the Blessed Ludovica Albertoni and is kept in Rome, is by:;A) Gian Lorenzo Bernini;B) Antonio Canova;C) Antonio Raggi;D) Benvenuto Cellini;E) Francesco Borromini;а
Which of the following terms has no connection to a Greek temple?;A) Peristyle;B) Altar (Ara);C) Pronaos;D) Naos;E) Proscenium;д
Who is the author of the painting shown? (Saturn Devouring His Son);A) Diego Velázquez;B) Eugène Delacroix;C) Rembrandt;D) Peter Paul Rubens;E) Francisco Goya;д
In the Doryphoros, the parts in tension and those at rest correspond to an opposing pattern called:;A) Antithesis;B) Chiastic;C) Contrapposto;D) Parallelism;E) Golden Ratio;б
Between June and November 1942, at the Egyptian location of El Alamein, British forces under General Montgomery fought against:;A) Russians under Stalin;B) Spaniards under Francisco Franco;C) Italians under Mussolini;D) Italo-German forces under Field Marshal E.J. Rommel;E) French under General De Gaulle;г
"Who is the author of the work shown below? Composition II in Red, Blue, and Yellow""";A) Braque;B) Magritte;C) Mondrian;D) Monet;E) Modigliani;в
"To which period does the work in the image belong?
Diptych of Federico da Montefeltro and Battista Sforza"" by Piero della Francesca. ";A) Neoclassicism;B) Mannerism;C) Renaissance;D) Baroque;E) Gothic;в
What is a rosoni (rose window)?;A) A large circular window, open in the center of the façade of many churches;B) An architectural element placed at the center of the apse;C) A decorative element on the shaft of Byzantine columns;D) The compass rose, adorning many civil architectural works;E) A mosaic depicting the miracle of Saint Francis and the thornless rose garden;а
"“In economics, it corresponds to the reduction of the value of a country’s currency in relation to a fixed parity, which can be expressed in terms of other countries’ currencies or gold. It therefore expresses a variation in the exchange rate of a country’s currency, that is, its price compared to other currencies.”
(Enciclopedia Treccani)
What does the entry refer to?";A) Inflation;B) Contraction;C) Deflation;D) Devaluation;E) Stagnation;г
The term galaverna refers to:;A) the deposit of tiny ice crystals that forms on objects immersed in foggy atmosphere when the temperature is below zero;B) the mass of ice that slowly moves along a valley, from above the snow line to the sea, due to gravity;C) a fracture in the earth’s crust, where a movement has occurred and where the rock layers of the two banks do not correspond;D) the line on a map that connects places with the same average cloudiness over a certain period;E) the cave whose interior has numerous formations of stalactites and stalagmites;а
Indicate the correct definition for the meaning of the word limitrofo (adjacent):;A) Affected by contagious disease;B) Limited person;C) Worker who uses a file;D) Construction tool;E) Bordering;д
What is the function of an uninterruptible power supply (UPS)?;A) Increase the computing capacity of the PC in special situations;B) Exclusively promote network connection between PC groups;C) Encourage the active participation of users on social networks;D) Protect the computer from power drops or surges;E) Let software run without interruption in a given environment;г
"“The Constitutio de feudis (or Edictum de beneficiis) by Emperor Conrad II the Salic […]
With this edict, the irrevocability and heritability of their fiefs was recognized to the minor vassals (the valvassors), thus extending their rights. It was also established that, in the absence of direct heirs, the fief could be transferred to close relatives up to the third degree, and that no feudal lord or bishop could deprive a valvassor of their fief without a serious and justified reason, subject to approval by a council of valvassors. The great feudal lords were also forbidden from alienating or leasing the benefits of the valvassors without their consent.”
What seems to be the goal of the edict described in this text?";A) Deprive great feudal lords of their lands and income sources;B) Diminish the power of great feudal lords by strengthening the position of minor lords;C) Strengthen subordination relationships of minor lords to major lords;D) Preserve hereditary rights of all feudal society established by the Capitularies of Quierzy;E) Extend the feudal system to ensure delegated management easing the emperor’s burden;б
In computer science, what is meant by algorithm?;A) A procedure that solves a specific problem with a finite number of steps;B) A programming language for computers;C) A hardware component of the computer;D) A synonym for order;E) A procedure that solves a specific problem with an infinite number of steps;а
Who designed and led the construction of the first nuclear fission reactor, which produced the first controlled chain nuclear reaction?;A) Julius Robert Oppenheimer;B) Enrico Fermi;C) Marie Curie;D) Albert Einstein;E) Niels Bohr;б
Who designed the Modulor, a scale of proportions based on human measurements as shown below?;A) Ludwig Mies van der Rohe;B) Le Corbusier;C) Alvar Aalto;D) Frank Lloyd Wright;E) Frank Gehry;б
Which of the following images shows a trifora (triple-arched window)?;A) Image 1;B) Image 2;C) Image 3;D) Image 4;E) Image 5;а
Which of the following architects is associated with the Bauhaus?;A) Walter Gropius;B) Frank Lloyd Wright;C) Le Corbusier;D) Giles Gilbert Scott;E) Alvar Aalto;а
In which of the following locations did a famous battle of the Second Italian War of Independence take place?;A) Anzio;B) Montecassino;C) Caporetto;D) Lepanto;E) Solferino;д
What did the so-called “Fiume Question” consist of?;A. In the issue that arose over Fiume and the other cities of Dalmatia, since the First World War, in relation to the dominance in the Adriatic;B. In an international context concerning the sovereignty of the city of Fiume, which arose at the end of the Second World War;C. In a controversy between Napoleon III and the Austrian Empire following the signing of the Armistice of Villafranca;D. In an international context, arising at the end of the First World War, regarding sovereignty over the city of Fiume;E. In the conflict between the Italian state and Tito’s Yugoslavia, concerning the persecution of Italians in Istria and Dalmatia;г
The dome shown in the image belongs to:;A. San Lorenzo, Turin, by Guarino Guarini;B. Chapel of the Holy Shroud (Sacra Sindone), Turin, by Guarino Guarini;C. Basilica of Superga, near Turin, by Filippo Juvarra;D. Santa Chiara, Bra, Cuneo, by Bernardo Vittone;E. San Gregorio, Messina, by Filippo Juvarra;б
The birth of the People’s Republic of China occurred in which of the following chronological intervals?;A. 1915–1922;B. 1923–1933;C. 1934–1944;D. 1956–1968;E. 1945–1955;д
"Which author, in his works on robots, stated the three laws of robotics?
First Law: A robot may not injure a human being or, through inaction, allow a human being to come to harm.
Second Law: A robot must obey the orders given by human beings except where such orders would conflict with the First Law.
Third Law: A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.";A. John R. R. Tolkien;B. Isaac Asimov;C. Joanne K. Rowling;D. Clive S. Lewis;E. Vladimir D. Nabokov;б
"Which of the following is the correct chronological order of the three listed events?
E₁: Giorgio De Chirico paints The Disquieting Muses
E₂: Roy Lichtenstein creates Crying Girl
E₃: Van Gogh paints Starry Night";"A. E₂; E₃; E₁";"B. E₂; E₁; E₃";"C. E₃; E₂; E₁";"D. E₁; E₂; E₃";"E. E₃; E₁; E₂";д
Article 76 of the Constitution of the Italian Republic states: “The exercise of legislative function may not be delegated except […] with determination of principles and criteria, and only for a limited time and for defined objects.” Which of the following bodies is correctly matched to the article?;A. President of the Republic;B. High Council of the Judiciary;C. President of the Council of Ministers;D. Minister of Justice;E. Government;д
"Which term can be associated with both of the following definitions?
– Way of living in relation to economic conditions and possibilities.
– The highest-pitched male voice.";A. Level;B. Baritone;C. Tenor;D. Bass;E. Rate;в
Who is the author of the artwork in the image? The Smile of the Flamboyant Wings;A. Joan Miró;B. Salvador Dalí;C. Pablo Picasso;D. Vassily Kandinsky;E. René Magritte;а
Which diplomat represented the Austrian Empire at the Congress of Vienna?;A. Bismarck;B. Metternich;C. Waldheim;D. Radetzky;E. Bullow;б
Who was the first artist to use the technique of dripping?;A. Andy Warhol;B. Roy Lichtenstein;C. Jackson Pollock;D. Piet Mondrian;E. Marcel Duchamp;в
Who competed with Brunelleschi in the contest for the design of the panel for the door of the Baptistery of Florence?;A. Domenico Ghirlandaio;B. Leon Battista Alberti;C. Giovanni Pisano;D. Lorenzo Ghiberti;E. Andrea del Verrocchio;г
On January 21, 1921, in Livorno, which party was born?;A. Radical Party;B. Communist Party of Italy;C. Christian Democracy;D. Italian Liberal Party;E. Italian Socialist Party;б
"Put the following historical events in chronological order:
Crimean War
Sino-Japanese War
Battle of Waterloo
Congress of Vienna
American Civil War**";"A. 3; 1; 5; 2; 4";"B. 3; 4; 1; 5; 2";"C. 2; 3; 1; 5; 4";"D. 1; 5; 3; 4; 2";"E. 4; 3; 5; 1; 2";б
The only architectural treatise from antiquity that has come down to us is De Architectura, written in the 1st century BC. Who is the author of this work?;A. Strabo;B. Vitruvius;C. Tacitus;D. Virgil;E. Ptolemy;б
Which pairing between artist and patron is incorrect?;A. Filippo Juvarra – Vittorio Amedeo II of Savoy;B. Giulio Romano – Federico II Gonzaga;C. Giuseppe Piermarini – Louis XIV of Bourbon;D. Donato Bramante – Ludovico il Moro;E. Apollodorus of Damascus – Trajan;в
Which of these architects was NOT included by Giorgio Vasari in The Lives?;A. Filippo Brunelleschi;B. Galeazzo Alessi;C. Donato Bramante;D. Michelangelo Buonarroti;E. Francesco Borromini;д
The term “Early Middle Ages” commonly refers to the period:;A. That goes from the fall of the Western Roman Empire to the year 1000;B. Between the Fall of Constantinople and the discovery of America;C. Between the 9th and 15th centuries;D. That sees the affirmation of Gothic architectural forms;E. During which the disintegration of the Hellenistic kingdoms occurs;а
Which of these terms does not have a specific meaning in relation to architecture?;A) Pennacchio;B) Timone;C) Vela;D) Fuso;E) Costola;б
Which of the following lists contains only works created by Caravaggio?;"A) Lute Player; David and Goliath; Conversion of Saint Paul";"B) Madonna of the Goldfinch; Christ at the Column; Beheading of Saint John the Baptist";"C) Saint John at the Spring; Judith and Holofernes; Portrait of Maddalena Doni";"D) Supper at Emmaus; Adolescent Bacchus; The Three Philosophers";"E) Vocation of Saint Matthew; David and Goliath; Marriage of the Virgin";а
Which of the following groups of works were designed by Le Corbusier?;"A) Fagus Factory; Sommerfeld House; Siemensstadt Estate";"B) Villa Savoye; Convent of La Tourette; La Roche House – Jeanneret";"C) Villa Mairea; Paimio Sanatorium; Viipuri Library";"D) Guggenheim Museum; Kaufmann House; Millard House";"E) Schröder House; Van Gogh Museum; Dutch Pavilion at the Venice Biennale";б
"Identify the correct chronological order of the reproduced works:
Images: Venus, Alba, Laocoön, Ebe, Medusa";"A) Venus; Alba; Laocoön; Medusa; Ebe";"B) Laocoön; Alba; Ebe; Venus; Medusa";"C) Venus; Laocoön; Alba; Medusa; Ebe";"D) Venus; Medusa; Laocoön; Alba; Ebe";"E) Laocoön; Venus; Medusa; Ebe; Alba";в
Cupid and Psyche, shown in the photograph, is a sculpture by:;A) Michelangelo Buonarroti;B) Gian Lorenzo Bernini;C) Bertel Thorvaldsen;D) Antonio Canova;E) Donatello;г
"What is the chronological order of the following paintings?
Marat assassinated (Louis David)
Sacrifice of Iphigenia (Giovanbattista Tiepolo)
The Stigmata of St. Francis (Giovanni Bellini)
Theft of the body of St. Mark (II Tintoretto)
Return to the Fold (Giovanni Segantini)";"A)3; 5; 4; 2; 1";"B)1; 2; 4; 3; 5";"C)1;5;3;4;2";"D)4; 2; 1; 3; 5";"E)3; 4; 2; 1; 5";д
The Leonardesque painting technique is called “sfumato”: for what reason?;A) Because the artist tends to work directly by hand on the canvas, blurring the color. Thanks to the use of oil colors, this technique became very widespread.;B) Because Leonardo uses a modulated color tone in imperceptible gradations and skips the preparatory phases of drawing and shading.;C) Because his painting is made of very rapid strokes and of a light that is often dazzling, almost incandescent.;D) Because the subjects depicted are wrapped in a very fine play of light and shade, becoming a unified whole without rigid internal demarcations.;E) Because the technique used involves a very strong and sharp chiaroscuro.;г
